taxpayer_id,sector,revenue_prev,revenue_curr,payment_prev,payment_curr,late_filings
WP-0001,Retail,800000000,880000000,40000000,45000000,0
WP-0002,Food & Beverage,650000000,910000000,33000000,25000000,2
WP-0003,Services,1200000000,1250000000,61000000,64000000,0
WP-0004,Manufacturing,2400000000,3300000000,120000000,90000000,3
WP-0005,Retail,500000000,490000000,25000000,24500000,0
WP-0006,Construction,1800000000,2300000000,90000000,72000000,1
WP-0007,Food & Beverage,720000000,760000000,36000000,38000000,0
WP-0008,Services,950000000,1400000000,48000000,47000000,2
WP-0009,Retail,1100000000,1120000000,55000000,57000000,0
WP-0010,Manufacturing,3000000000,4500000000,150000000,105000000,4
WP-0011,Construction,1600000000,1700000000,80000000,82000000,0
WP-0012,Food & Beverage,430000000,650000000,22000000,17000000,2
WP-0013,Services,780000000,800000000,39000000,40500000,0
WP-0014,Retail,620000000,900000000,31000000,26000000,1
WP-0015,Manufacturing,2700000000,2650000000,135000000,132000000,0
WP-0016,Construction,1450000000,2100000000,73000000,60000000,3
WP-0017,Services,1050000000,1100000000,52000000,55000000,0
WP-0018,Food & Beverage,560000000,850000000,28000000,21000000,2
WP-0019,Retail,920000000,950000000,46000000,48000000,0
WP-0020,Manufacturing,3500000000,5100000000,175000000,120000000,3
WP-0021,Services,680000000,700000000,34000000,35000000,0
WP-0022,Construction,2100000000,2800000000,105000000,89000000,2
WP-0023,Retail,750000000,780000000,37500000,39000000,0
WP-0024,Food & Beverage,480000000,720000000,24000000,19000000,3
WP-0025,Services,1300000000,1320000000,65000000,67000000,0
WP-0026,Manufacturing,2200000000,3100000000,110000000,85000000,2
WP-0027,Construction,1250000000,1280000000,63000000,65000000,0
WP-0028,Retail,840000000,1200000000,42000000,35000000,1
WP-0029,Food & Beverage,600000000,610000000,30000000,30500000,0
WP-0030,Services,900000000,1350000000,45000000,36000000,3
